pkey,Rainfall events,Sites,Temperature. (℃),EC (ms/cm),Turbidity (NTU),TSS (Total Suspended Solids) (mg/L),pH,DO (mg/L),Salinity (psu),BOD5 (Biochemical Oxygen Demand)  (mg/L),COD (Chemical Oxygen Demand) (mg/L),E.coli (MPN/100ml),NH4-N (Ammonia Nitrogen) (mg/L),NO3--N (Nitrate Nitrogen) (mg/L),NO2--N (Nitrite Nitrogen) (mg/L),Total inorganic nitrogen (mg/L）,PO43- (Phosphate) (mg/L),Fluoride F-  (mg/L),Chloride Cl-  (mg/L),Sulphate SO₄²-  (mg/L),Bromide Br-  (mg/L),Total alkalinity  (mg/L),Hardness  (mg/L),Al,As,Cr,Cd,Pb,Zn,Cu,Fe,Mn,Ni,MP Abundance (particles/L)
1,1,A,15.2,1.06,167.5,163.1,6.71,8.01,0.655868174,24.23,298.15,379,1.8,16,0.35,18.15,2.65,0.8364,263.5533,0,2.058133333,38.25,258.3333333,2.437942857,0.002057143,0.017621429,7.85714E-05,0.016442857,0.501714286,0.116357143,2.28695,0.083735714,0.006735714,40
2,1,B,17.9,1.07,116.5,115.8,7.03,7.74,0.620312189,24.41,651.14,1342,2.35,17.5,0.075,19.925,4.25,5.4089,330.1333,34.6394,4.637233333,75,323.3333333,1.940035714,0.003078571,0.020764286,0.0007,0.016407143,0.672764286,0.230228571,1.902014286,0.135928571,0.016228571,30
3,1,C,17.3,2.37,141,146.6,6.99,6.18,1.448951427,22.98,481.77,6667,2.3,16,0.87,19.17,5.3,0.9554,1504.4933,0,6.515533333,120,555,1.751814286,0.003085714,0.020478571,0.000242857,0.01715,0.410464286,0.148364286,2.19905,0.056292857,0.016392857,60
4,1,D,17.8,1.59,146,129.2,6.86,3.97,0.94077817,19.86,455.71,5033,5.2,26,0.435,31.635,4.5,3.062,803.1933,0,6.380866667,137.5,651.6666667,1.493885714,0.002635714,0.021407143,0.000278571,0.013285714,0.67555,0.222428571,2.0231,0.173021429,0.023107143,50
5,1,E,20.1,0.167,106.5,438.4,7.11,6.99,0.089773885,24.42,245.24,2214,0.5,11,0.185,11.685,2.8,0.5008,48.1633,28.4685,0.7943,87.5,91.66666667,1.620378571,0.002657143,0.022421429,0.000335714,0.0142,0.707064286,0.238564286,2.164464286,0.181571429,0.023585714,60
6,1,F,17.1,0.253,114.5,374.6,7.17,7.29,0.143825327,24.45,181.82,1306,0.6,6,0.205,6.805,2.8,0.3485,116.98,25.6872,1.297733333,85,85,2.27985,0.002257143,0.02205,7.85714E-05,0.037735714,0.60635,0.06555,2.505092857,0.072771429,0.005114286,120
7,2,A,21,0.262,238.5,319.4,6.05,6.77,0.137099523,22.5863964,421.9101124,2260.776661,0.2,0.45,0.525,1.175,1.005,0.1353,45.8068,11.1032,0,50,58.33333333,1.437571429,0.001035714,0.016521429,0,0.013107143,0.233542857,0.061192857,1.735128571,0.035764286,0.0048,50
8,2,B,20.8,0.121,234,74.5,6.55,5.6,0.06536795,19.16297297,251.1235955,25819.88897,0.3,3.5,0.205,4.005,0.24,0.0924,11.9988,7.8461,0.7318,52.5,53.33333333,0.760028571,0.00095,0.013321429,6.42857E-05,0.00865,0.636221429,0.05195,1.567321429,0.0276,0.001978571,20
9,2,C,22,0.313,66.25,119.8,6.47,5.27,0.160369618,22.24105105,123.0337079,2774.887385,0.1,0.95,0.475,1.525,2.6,0.1284,57.6076,11.159,1.1782,60,53.33333333,0.369942857,0.001035714,0.011985714,0,0.003285714,0.049471429,0.015978571,0.338921429,0.010242857,0.000985714,90
10,2,D,21.8,0.138,59.45,81.4,6.24,4.38,0.072618183,21.92573574,291.011236,8602.325267,0.35,1.4,0.44,2.19,0.525,0.1323,14.028,5.3503,0.7089,50,46.66666667,0.4744,0.000671429,0.01325,0,0.006142857,0.079957143,0.023807143,0.4655,0.01665,0.000978571,90
11,2,E,18.9,0.099,69.7,89.4,6.64,6.3,0.056080195,8.967777778,69.1011236,912.8709292,0.285,1.35,0.193,1.828,0.46,0.1503,7.8009,5.8163,0.4764,47.5,35,0.788007143,0.00085,0.013657143,0,0.007535714,0.066314286,0.0183,0.779821429,0.020578571,0.002007143,10
12,2,F,21.2,0.129,87.95,88.6,6.7,5.65,0.068894455,12.8866967,133.1460674,1577.621275,0.45,0.2,0.455,1.105,0.3,0.1014,9.0227,5.9556,0.6699,57.5,43.33333333,0.67545,0.00085,0.013592857,0,0.009985714,0.109642857,0.021042857,0.667828571,0.015064286,0.001128571,0
13,3,A,22,0.56,104,242.8,6.72,3.52,0.289253247,22.60735736,186.6581818,458257.5695,0.3,1.5,1.855,3.655,0.35,0.233433333,119.0108,27.62986667,0.797866667,80,121.6666667,1.157914286,0.00115,0.01975,0,0.019892857,0.231392857,0.094935714,1.554557143,0.043821429,0.003728571,150
14,3,B,20,0.294,53.9,275.5,7.05,5.77,0.157053331,16.33108108,48.18,32110.91888,0.65,0.35,0.38,1.38,0.605,0.116166667,19.25703333,17.21413333,0.757,112.5,55,0.435421429,0.001135714,0.016742857,3.57143E-05,0.008257143,0.211657143,0.119028571,0.871628571,0.021657143,0.004121429,180
